#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.86411    -25.831259    -25.839679
 
# Band-Index   32
   0.86411    -25.809920    -25.818612
   0.81937    -25.809921    -25.818613
   0.77463    -25.809923    -25.818615
   0.72989    -25.809926    -25.818619
   0.68515    -25.809930    -25.818624
   0.64041    -25.809933    -25.818628
   0.59566    -25.809936    -25.818632
   0.55092    -25.809938    -25.818635
   0.50618    -25.809940    -25.818637
   0.50618    -25.809940    -25.818637
   0.46400    -25.809938    -25.818635
   0.42182    -25.809937    -25.818633
   0.37964    -25.809935    -25.818629
   0.33746    -25.809933    -25.818626
   0.29527    -25.809931    -25.818623
   0.25309    -25.809930    -25.818622
   0.25309    -25.809930    -25.818622
   0.21091    -25.809928    -25.818620
   0.16873    -25.809927    -25.818619
   0.12655    -25.809924    -25.818617
   0.08436    -25.809922    -25.818615
   0.04218    -25.809920    -25.818613
   0.00000    -25.809920    -25.818612
 
# Band-Index   33
